intent,question,resposta,metrica,valor_normalizado,utilizador_nome
feedback,Conseguiu compreender a saudação do assistente?,Olá assistente,comunica_bem,,
feedback,Conseguiu compreender a saudação do assistente?,Olá assistente,comunica_bem,,
feedback,O assistente tem-lhe apresentado receitas do seu agrado?,Quero uma receita de amêijoas,estou_satisfeito,1,
feedback,O primeiro passo foi explicado de forma clara?,Sim,,5,
feedback,"Numa escala de 1 a 5, o quão úteis foram os comandos apresentados?",Sim,,5,
feedback,"Numa escala de 1 a 5, o quanto você conseguiu perceber o que cada comando faz?",Cinco,comunica_bem,5,
feedback,Faltou alguma informação (ex: quantidades ou validade)?,Não,,0,
feedback,O assistente respondeu de forma natural aos cumprimentos?,Sim respondeu,,5,
feedback,As instruções fornecidas pelo assistente foram úteis?,Sim fora,comunica_bem,5,
feedback,Conseguiu compreender a saudação do assistente?,Foi tudo natural,comunica_bem,,
feedback,O primeiro passo foi explicado de forma clara?,Sim,,5,
feedback,Numa escala de 1 a 5 o quão explícitas achou as instruções?,Cinco,comunica_bem,5,
feedback,Conseguiu compreender a saudação do assistente?,Sim sim,comunica_bem,5,
feedback,Acha que os comandos apresentados lhe foram úteis?,Sim sim,faz_oque_quero,5,
feedback,As instruções fornecidas pelo assistente foram úteis?,Sim foram,comunica_bem,5,
feedback,Faltou alguma informação crítica na ajuda?,Não não faltou,,0,
feedback,"Numa escala de 1 a 5, o quão úteis foram os comandos apresentados?",Cinco,,5,
feedback,Considera que os comandos estão bem descritos?,Sim,comunica_bem,5,
feedback,Acha que os comandos apresentados lhe foram úteis?,Sim,faz_oque_quero,5,
feedback,Conseguiu perceber o que cada comando faz?,Sim consigo perceber,comunica_bem,5,
feedback,Os exemplos de comandos foram úteis?,Sims exemplos de comandos para lutas,,5,
feedback,"Numa escala de 1 a 5, o quão bem descritos estavam os comandos?",Dois,comunica_bem,2,
feedback,As instruções fornecidas pelo assistente foram úteis?,Sim,comunica_bem,5,
feedback,O assistente foi claro ao explicar as funcionalidades?,Sim foi,comunica_bem,5,
feedback,"Numa escala de 1 a 5, o quão clara e fácil de entender foi a repetição do passo feita pelo assistente?",Quatro,comunica_bem,4,
feedback,O assistente respondeu de forma natural aos cumprimentos?,Percebi tudo muito bem,,,
feedback,O assistente respondeu de forma natural aos cumprimentos?,Olá assistente,,,
feedback,O assistente respondeu de forma natural aos cumprimentos?,Olá assistente,,,
feedback,"Numa escala de 1 a 5, que número atribuiria em relação ao seu entendimento sobre o que cada comando faz?",Um um,,1,
feedback,"Numa escala de 1 a 5, que número atribuiria em relação ao seu entendimento sobre o que cada comando faz?",Ajuda,,,
feedback,"Numa escala de 1 a 5, o quão úteis foram os comandos apresentados?",5 5,,5,
feedback,"Numa escala de 1 a 5, o quão úteis foram os comandos apresentados?",Não percebi podes repetir,,0,
feedback,"Numa escala de 1 a 5, o quanto você se sentiu frustrado com a forma como o assistente repetiu um passo?",Quatro,faz_oque_quero,4,
